Sal3, Onigri, Site280, 1.0
Chalci, Ovimin, Site060, 1.0
Sgranu, Ohasta, Site151, 1.0
Pponta, Olappo, Site046, 1.0
Lpunct, Hischn, Site208, 1.0
Pponta, Oherba, Site054, 1.0
Chalci, Oglabr, Site055, 1.0
Chalci, Ehasta, Site051, 1.0
Sal16, Odolic, Site016, 1.0
Ccruxx, Obridg, Site041, 1.0
Rbrach, Hplicg, Site353, 1.0
Sal18, Obridg, Site048, 1.0
Sal4, Egemmf, Site027, 1.0
Llugen, Oproxi, Site117, 1.0
Atroch, Hnudip, Site212, 1.0
Chalci, Oproxi, Site293, 1.0
Celong, Hpruss, Site191, 1.0
Acubic, Osamol, Site078, 1.0
Bkopel, Obrevi, Site192, 1.0
Sal2, Obridg, Site020, 1.0
Slappo, Olappl, Site016, 1.0
Sal4, Oobscu, Site081, 1.0
Peuura, Egemmf, Site028, 1.0
Chalci, Egemmf, Site194, 1.0
Sal12, Oproxi, Site223, 1.0
Sal10, Ovesic, Site001, 1.0
Sal9, Hpruss, Site041, 1.0
Sal15, Omyrsi, Site015, 1.0
Svesic, Obridg, Site247, 1.0
Sal25, Halien, Site349, 1.0
Etorym, Oarcti, Site055, 1.0
Sal17, Hplicg, Site043, 1.0
Aminim, Ocolla, Site233, 1.0
Hruber, Ohasta, Site034, 1.0
Bracin, Oobscu, Site194, 1.0
Ichnin, Hplicg, Site204, 1.0
Adelog, Hleuca, Site320, 1.0
Esalic, Eatraa, Site178, 1.0
Bracin, Okriec, Site170, 1.0
Sal27, Oglabr, Site042, 1.0
Etorym, Ocolla, Site233, 1.0
Sal3, Ovaria, Site075, 1.0
Sal14, Olappl, Site016, 1.0
Chalci, Elappo, Site053, 1.0
Chalci, Edaphn, Site104, 1.0
Sal9, Hpruss, Site332, 1.0
Peuura, Ehasta, Site079, 1.0
Sal9, Hleuca, Site317, 1.0
Etoxon, Obridg, Site041, 1.0
Sal14, Elappc, Site053, 1.0
